ID,COUNTRY,CONTINENT
66,ESWATINI,AFRICA
67,ETHIOPIA,AFRICA
68,FIJI,OCEANIA
69,FINLAND,EUROPE
70,FRANCE,EUROPE
71,FRENCH GUIANA,SOUTH AMERICA
72,FRENCH POLYNESIA,OCEANIA
73,GABON,AFRICA
74,GAMBIA,AFRICA
75,GEORGIA,ASIA
76,GERMANY,EUROPE
77,GHANA,AFRICA
78,GREECE,EUROPE
79,GRENADA,NORTH AMERICA
80,GUADELOUPE,NORTH AMERICA
81,GUAM,OCEANIA
82,GUATEMALA,NORTH AMERICA
83,GUINEA,AFRICA
84,GUINEA-BISSAU,AFRICA
85,GUYANA,SOUTH AMERICA
86,HAITI,NORTH AMERICA
87,HONDURAS,NORTH AMERICA
88,"HONG KONG, CHINA",ASIA
89,HUNGARY,EUROPE
90,ICELAND,EUROPE
91,INDIA,ASIA
92,INDONESIA,ASIA
93,"IRAN, ISLAMIC REPUBLIC OF",ASIA
94,IRAQ,ASIA
95,IRELAND,EUROPE
96,ISRAEL,ASIA
97,ITALY,EUROPE
98,JAMAICA,NORTH AMERICA
99,JAPAN,ASIA
100,JORDAN,ASIA
101,KAZAKHSTAN,ASIA
102,KENYA,AFRICA
103,KIRIBATI,OCEANIA
104,"KOREA, REPUBLIC OF",ASIA
105,KUWAIT,ASIA
106,KYRGYZSTAN,ASIA
107,LAO PEOPLE'S DEMOCRATIC REPUBLIC,ASIA
108,LATVIA,EUROPE
109,LEBANON,ASIA
110,LESOTHO,AFRICA
111,LIBERIA,AFRICA
112,LIBYA,AFRICA
113,LIECHTENSTEIN,EUROPE
114,LITHUANIA,EUROPE
115,LUXEMBOURG,EUROPE
116,"MACAO, CHINA",ASIA
117,MADAGASCAR,AFRICA
118,MALAWI,AFRICA
119,MALAYSIA,ASIA
120,MALDIVES,ASIA
121,MALI,AFRICA
122,MALTA,EUROPE
123,MARSHALL ISLANDS,OCEANIA
124,MARTINIQUE,NORTH AMERICA
125,MAURITANIA,AFRICA
126,MAURITIUS,AFRICA
127,MEXICO,NORTH AMERICA
128,"MICRONESIA, FEDERATED STATES OF",OCEANIA
129,"MOLDOVA, REPUBLIC OF",EUROPE
130,MONACO,EUROPE
131,MONGOLIA,ASIA
132,MONTENEGRO,EUROPE
133,MONTSERRAT,NORTH AMERICA
134,MOROCCO,AFRICA
135,MOZAMBIQUE,AFRICA
136,MYANMAR,ASIA
137,NAMIBIA,AFRICA
138,NAURU,OCEANIA
139,NEPAL,ASIA
140,NETHERLANDS,EUROPE
141,NEW CALEDONIA,OCEANIA
142,NEW ZEALAND,OCEANIA
143,NICARAGUA,NORTH AMERICA
144,NIGER,AFRICA
145,NIGERIA,AFRICA
146,NIUE,OCEANIA
147,NORTH MACEDONIA,EUROPE
148,NORTHERN MARIANA ISLANDS,EUROPE
149,NORWAY,EUROPE
150,OMAN,ASIA
151,PAKISTAN,ASIA
152,PALAU,OCEANIA
153,PANAMA,NORTH AMERICA
154,PAPUA NEW GUINEA,OCEANIA
155,PARAGUAY,SOUTH AMERICA
156,PERU,SOUTH AMERICA
157,PHILIPPINES,ASIA
158,POLAND,EUROPE
159,PORTUGAL,EUROPE
160,PUERTO RICO,NORTH AMERICA
161,QATAR,ASIA
162,REUNION,AFRICA
163,ROMANIA,EUROPE
164,RUSSIAN FEDERATION,EUROPE
165,RWANDA,AFRICA
166,SABA,AFRICA
167,SAINT KITTS AND NEVIS,NORTH AMERICA
168,SAINT LUCIA,NORTH AMERICA
169,SAINT VINCENT AND THE GRENADINES,NORTH AMERICA
170,SAMOA,OCEANIA
171,SAN MARINO,EUROPE
172,SAO TOME AND PRINCIPE,AFRICA
173,SAUDI ARABIA,ASIA
174,SENEGAL,AFRICA
175,SERBIA,EUROPE
176,SERBIA AND MONTENEGRO,EUROPE
177,SEYCHELLES,AFRICA
178,SIERRA LEONE,AFRICA
179,SINGAPORE,ASIA
180,SINT EUSTATIUS,NORTH AMERICA
181,SINT MAARTEN (DUTCH PART),NORTH AMERICA
182,SLOVAKIA,EUROPE
183,SLOVENIA,EUROPE
184,SOLOMON ISLANDS,OCEANIA
185,SOUTH AFRICA,AFRICA
186,SOUTH SUDAN,AFRICA
187,SPAIN,EUROPE
188,SRI LANKA,ASIA
189,STATE OF PALESTINE,ASIA
190,SUDAN,AFRICA
191,SURINAME,SOUTH AMERICA
192,SWEDEN,EUROPE
193,SWITZERLAND,EUROPE
194,SYRIAN ARAB REPUBLIC,ASIA
195,TAIWAN PROVINCE OF CHINA,ASIA
196,TAJIKISTAN,ASIA
197,"TANZANIA, UNITED REPUBLIC OF",AFRICA
198,THAILAND,ASIA
199,TIMOR-LESTE,ASIA
200,TOGO,AFRICA
201,TONGA,OCEANIA
202,TRINIDAD AND TOBAGO,NORTH AMERICA
203,TUNISIA,AFRICA
204,TURKEY,ASIA
205,TURKMENISTAN,ASIA
206,TURKS AND CAICOS ISLANDS,NORTH AMERICA
207,TUVALU,OCEANIA
208,UGANDA,AFRICA
209,UKRAINE,EUROPE
210,UNITED ARAB EMIRATES,ASIA
211,UNITED KINGDOM,EUROPE
212,UNITED STATES OF AMERICA,NORTH AMERICA
213,UNITED STATES VIRGIN ISLANDS,NORTH AMERICA
214,URUGUAY,SOUTH AMERICA
215,UZBEKISTAN,ASIA
216,VANUATU,OCEANIA
217,"VENEZUELA, BOLIVARIAN REPUBLIC OF",SOUTH AMERICA
218,VIET NAM,ASIA
219,YEMEN,ASIA
220,ZAMBIA,AFRICA
221,ZIMBABWE,AFRICA
